Rank,Player,Year,Team,Price (Cr),Prior WAR,Predicted (Cr),Overpaid (Cr),Premium %,Next WAR,Shortfall,Dud Score
130,Harpreet Brar,2022,PBK,4.186096256684492,7.314267443707528,5.494097539547995,-1.3080012828635024,-23.807390994574753,7.223183313397136,0.09108413031039131,40.05235602094241
131,Brendon McCullum,2011,KTK,4.385707171314741,0.7733714788732389,5.694948992826524,-1.3092418215117831,-22.98952673958856,-0.6319767441860478,1.4053482230592866,44.24083769633508
132,Vaibhav Arora,2023,KKR,0.6267748478701826,-0.9615883638892267,1.9933362956819138,-1.3665614478117312,-68.55649248809945,7.076792885705653,-8.03838124959488,12.827225130890051
133,Sunil Narine,2014,KKR,15.241433021806852,23.110547518231,16.648981263470922,-1.4075482416640703,-8.454260470292759,5.336800387008877,17.773747131222123,67.27748691099477
134,Wriddhiman Saha,2022,GT,2.093048128342246,-2.0182680538555715,3.509481298410692,-1.4164331700684456,-40.360185726303584,5.76953125,-7.7877993038555715,19.633507853403138
135,Daniel Vettori,2011,RCB,4.616533864541832,2.12169894366197,6.07592758859879,-1.4593937240569579,-24.01927446922583,7.560521035002216,-5.438822091340246,27.486910994764397
136,Ravindra Jadeja,2014,CSK,8.82398753894081,13.248112944013169,10.36768652321191,-1.543698984271101,-14.889522178501045,5.043518716832061,8.204594227181108,57.32984293193717
137,Ajinkya Rahane,2023,CSK,0.5223123732251521,0.2846927966101695,2.1162886065967026,-1.5939762333715506,-75.3194166619313,0.8925831202046055,-0.607890323594436,26.17801047120419
138,Shikhar Dhawan,2011,DCH,2.769920318725099,3.141725352112676,4.496426883452302,-1.7265065647272029,-38.39730100095861,12.77501524426157,-9.633289892148895,16.75392670157068
139,Jaydev Unadkat,2023,LSG,0.5223123732251521,2.1258768479593027,2.311944502446122,-1.78963212922097,-77.40809207692804,1.298395457650141,0.8274813903091616,30.104712041884817
140,Arshdeep Singh,2022,PBK,4.406417112299465,2.729156010112075,6.2557967480425205,-1.8493796357430554,-29.562655409508604,3.901442882775129,-1.172286872663054,34.55497382198953
141,Adam Gilchrist,2011,DCH,8.309760956175298,13.088028169014084,10.288282669992782,-1.978521713817484,-19.230825758589624,2.6732558139534888,10.414772355060595,58.638743455497384
142,Suresh Raina,2014,CSK,15.241433021806852,23.852821394965897,17.25319964649209,-2.0117666246852366,-11.660252393209094,6.082716045251189,17.770105349714708,65.96858638743456
143,Brad Hodge,2011,KTK,3.9240537848605577,1.92071963028169,6.017563222184045,-2.0935094373234877,-34.789986578049756,6.938630696082678,-5.017911065800988,25.916230366492147
144,Jacques Kallis,2011,RCB,10.156374501992032,16.937709066901405,12.377634029778465,-2.221259527786433,-17.9457521723656,8.8123073308466,8.125401736054805,56.02094240837696
145,Pragyan Ojha,2011,DCH,4.616533864541832,11.937896126760563,6.860151980753791,-2.243618116211959,-32.705078874439614,3.767172799248317,8.170723327512246,52.61780104712042
146,Ashok Dinda,2011,DC,3.2315737051792826,7.453565140845068,5.530975926684719,-2.2994022215054364,-41.573173558969074,5.400065693858405,2.053499446986663,41.361256544502616
147,Mustafizur Rahman,2021,RR,1.175128351397604,3.7380503462844072,3.5450599903264957,-2.3699316389288914,-66.85166528622337,6.352743223355403,-2.6146928770709956,22.5130890052356
148,David Miller,2022,GT,3.3048128342245993,0.8109317625458985,5.705231252645874,-2.400418418421275,-42.07398985462772,7.21875,-6.4078182374541015,21.204188481675395
149,Harbhajan Singh,2011,MI,12.002988047808765,20.1227002640845,14.423432180879084,-2.420444133070319,-16.78133264479909,13.466639324334729,6.656060939749771,54.45026178010471
150,Vijay Shankar,2022,GT,1.5422459893048128,0.8003406608562003,4.018204965624158,-2.4759589763193457,-61.61853358654512,10.41796875,-9.6176280891438,11.780104712041886
151,Darren Bravo,2012,DCH,0.9363636363636364,3.0363334376020026,3.4275793906464296,-2.491215754282793,-72.68148948150136,6.572912255939761,-3.536578818337758,20.418848167539267
152,Romario Shepherd,2023,LSG,0.5223123732251521,0.4066434256148739,3.0209166484749765,-2.4986042752498245,-82.7101362267368,-0.5409642657348908,0.9476076913497646,29.057591623036647
153,Dale Steyn,2014,SRH,15.241433021806852,24.547782139496576,17.838765521954187,-2.597332500147335,-14.560046192382512,0.7969903812974442,23.75079175819913,67.01570680628272
154,Doug Bollinger,2011,CSK,6.001494023904383,9.778966769366193,8.776555704862677,-2.775061680958294,-31.619028856852843,-0.3322893505370459,10.111256119903238,55.49738219895288
