cricsheet_id,player_id,canonical_name,has_ipl,has_t20i
b0946605,P0037,AS Joseph,True,True
d67d5f00,P0252,DA Miller,True,True
d027ba9f,P0505,KS Williamson,True,True
2f9d0389,P0554,LH Ferguson,True,True
81c36ee9,P0573,Marco Jansen,True,True
8cf9814c,P0674,Mohammed Shami,True,True
3241e3fd,P0704,Nicholas Pooran,True,True
5f547c8b,P0874,Rashid Khan,True,False
b4b99816,P1040,Shubman Gill,True,True
81c08fa3,P1116,Umran Malik,True,True
fe11caa6,P1164,WP Saha,True,False
f19ccfad,P1168,Washington Sundar,True,True
7210d461,P1184,Yash Dayal,True,False
24d94623,P0114,Ankit Sharma,True,False
b681e71e,P0345,GJ Maxwell,True,True
39f01cdb,P0502,KP Pietersen,True,True
e2db2409,P0572,M Ashwin,True,False
c03e2850,P0587,M Vohra,True,False
9a0146b3,P0771,Pardeep Sahu,True,False
ce820073,P0971,Sandeep Sharma,True,True
871e9faf,P0177,Basil Thampi,True,False
844e79d1,P0300,Dewald Brevis,True,True
752f7486,P0403,Ishan Kishan,True,True
50c6bc2b,P0558,Liam Livingstone,True,True
7dcb9bc9,P0583,M Shahrukh Khan,True,False
2ed569a0,P0835,RD Chahar,True,True
b0482a1d,P0706,Tilak Varma,True,True
7c3b3b78,P1122,VG Arora,True,False
a45a5e8d,P0032,AM Nayar,True,False
d2a989fc,P0270,DS Kulkarni,True,True
9f961c14,P0468,Joginder Sharma,True,True
0fa5042b,P0552,L Ronchi,True,True
ae78bc32,P0609,MS Gony,True,False
1c17e270,P0848,RV Uthappa,True,True
f233bbb4,P0946,ST Jayasuriya,True,True
e0407c01,P0394,IC Pandey,True,False
808f425a,P0428,JP Faulkner,True,True
c42aaf71,P0576,M Manhas,True,False
6aed7e79,P0765,PV Tambe,True,False
bd17b45f,P0947,STR Binny,True,True
a4cc73aa,P0948,SV Samson,True,True
13c35c9e,P1081,Tim Southee,True,True
d5130a30,P0162,B Sai Sudharsan,True,True
23eeb873,P0264,DL Chahar,True,True
99b75528,P0417,JC Buttler,True,True
85e0cf10,P0581,M Prasidh Krishna,True,True
