,Name,Role,Country,Status,Base_Price(Lakh),Final_Price(Lakh),Team,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,4s,6s,Ct,St,Balls,Wkts,BBI,BBM,Econ,4w,5w
11,Hari Nishanth,Batsman , India,SOLD,20,20,CSK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
12,Harbhajan Singh,Bowler , India,SOLD,200,200,KKR,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Mujeeb Ur Rahman,Bowler , Afghanistan,SOLD,100,100,SRH,136,38,21,3453,27,23.48,158,21.0,0,0,13,5,30,0,3090,147,5/15,5/15,6.70,3,1
14,Sam Billings,WK-Batsman , England,SOLD,200,200,DC,187,175,26,-,95*,-,2692,-,0,21,297,105,107,17,-,-,-,-,-,-,-
15,Kedar Jadhav,Batting Allrounder , India,SOLD,200,200,SRH,143,126,31,88,84*,22.00,1785,15.0,0,12,207,78,50,7,60,4,2/23,2/23,8.80,0,0
16,Karun Nair,Batsman , India,SOLD,50,50,KKR,138,124,14,64,111,32.00,2078,27.0,2,14,268,93,54,0,54,2,1/3,1/3,7.11,0,0
17,Saurabh Kumar,Bowling Allrounder , India,SOLD,20,20,PBKS,28,12,3,629,33,29.95,95,25.5,0,0,11,7,12,0,536,21,5/28,5/28,7.04,1,1
18,Pratyush Singh,Bowler , India,UNSOLD,20,-,-,20,18,2,176,39,35.20,149,27.6,0,0,17,0,6,0,138,5,2/1,2/1,7.65,0,0
19,Marco Jansen,Bowling Allrounder , South Africa,SOLD,20,20,MI,10,6,1,273,47,45.50,57,35.0,0,0,4,4,4,0,210,6,2/21,2/21,7.80,0,0
20,Tim David,Batsman , Singapore,UNSOLD,20,-,-,40,37,10,259,92*,51.80,614,34.4,0,5,75,45,23,0,172,5,1/18,1/18,9.03,0,0
21,Gerald Coetzee,Bowler , South Africa,UNSOLD,20,-,-,8,7,0,210,9,23.33,40,18.2,0,0,1,0,2,0,164,9,2/19,2/19,7.68,0,0
22,Harsh Tyagi,Batting Allrounder , India,UNSOLD,20,-,-,22,15,9,533,38*,35.53,167,31.2,0,0,16,12,3,0,469,15,2/17,2/17,6.81,0,0
23,Jack Wildermuth,Bowling Allrounder , Australia,UNSOLD,50,-,-,51,28,3,1327,31,33.17,194,24.0,0,0,7,16,10,0,961,40,3/16,3/16,8.28,0,0
24,Bhagath Verma,Bowling Allrounder , India,SOLD,20,20,CSK,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Ajay Dev Goud,Bowler , India,UNSOLD,20,-,-,3,1,1,67,0*,7.44,0,7.3,0,0,0,0,0,0,66,9,4/15,4/15,6.09,2,0
